NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	35	0.5454172	1.9965886	2.1772263E-4	0.0065092836	0.0042	268	tags=31%, list=6%, signal=33%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	103	0.37515828	1.7387506	4.7348486E-4	0.04879103	0.0595	905	tags=36%, list=20%, signal=44%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	91	0.38134122	1.7318966	9.4831677E-4	0.035382193	0.0652	1254	tags=45%, list=27%, signal=61%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	103	0.33345783	1.5357045	0.005539499	0.1552122	0.3266	384	tags=19%, list=8%, signal=21%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	94	0.3305811	1.5018984	0.007936508	0.15945807	0.3985	502	tags=22%, list=11%, signal=25%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	16	0.4824252	1.434841	0.08155954	0.21897222	0.5659	641	tags=25%, list=14%, signal=29%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	49	0.35720834	1.4251918	0.041041482	0.20099887	0.5924	1533	tags=57%, list=34%, signal=85%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	25	0.41126195	1.3917379	0.08027327	0.22162989	0.6775	886	tags=32%, list=19%, signal=39%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	72	0.32011977	1.3872195	0.039126478	0.20260274	0.6885	1326	tags=40%, list=29%, signal=56%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	85	0.30831543	1.3782662	0.03656523	0.19348131	0.7097	1240	tags=44%, list=27%, signal=59%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	73	0.31852287	1.3744227	0.04427621	0.1805995	0.7193	1397	tags=47%, list=31%, signal=66%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	91	0.30273873	1.3704928	0.041413195	0.169949	0.7284	1658	tags=47%, list=36%, signal=73%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	109	0.27282017	1.2767841	0.07318236	0.28675625	0.9162	460	tags=18%, list=10%, signal=20%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	124	0.25420225	1.2135575	0.107699804	0.38610187	0.9722	507	tags=19%, list=11%, signal=21%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	103	0.26207164	1.2105247	0.1311911	0.3664342	0.974	439	tags=17%, list=10%, signal=19%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	51	0.2981959	1.1966223	0.17502238	0.37183613	0.9808	877	tags=33%, list=19%, signal=41%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	69	0.27711195	1.1936711	0.16434665	0.3556031	0.9823	552	tags=20%, list=12%, signal=23%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	99	0.25278848	1.1660906	0.16900738	0.39232942	0.9911	820	tags=25%, list=18%, signal=30%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	41	0.30096275	1.1555811	0.23137772	0.3930671	0.9931	1201	tags=39%, list=26%, signal=52%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	98	0.24837139	1.1379046	0.20490827	0.41047606	0.9963	632	tags=23%, list=14%, signal=27%	
