NAME	TITLE	SCORE	
PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	0.7193432	
VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	0.6287229	
NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	0.62292695	
WARS	tryptophanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12729]	0.52809095	
LILRA3	leukocyte immunoglobulin like receptor A3 [Source:HGNC Symbol;Acc:HGNC:6604]	0.5215235	
SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	0.51862377	
ADAMTSL2	ADAMTS like 2 [Source:HGNC Symbol;Acc:HGNC:14631]	0.5127328	
F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	0.5063309	
GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	0.5056594	
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	0.4929114	
F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	0.48935428	
LEAP2	liver enriched antimicrobial peptide 2 [Source:HGNC Symbol;Acc:HGNC:29571]	0.4870565	
ARL15	ADP ribosylation factor like GTPase 15 [Source:HGNC Symbol;Acc:HGNC:25945]	0.4787211	
KLB	klotho beta [Source:HGNC Symbol;Acc:HGNC:15527]	0.4709227	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	0.4662292	
LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	0.45950916	
HP	haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]	0.45946118	
FAM20A	FAM20A golgi associated secretory pathway pseudokinase [Source:HGNC Symbol;Acc:HGNC:23015]	0.44618914	
IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	0.43264407	
MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	0.4276112	
SAA2	serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]	0.42689517	
NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	0.4264659	
RPIA	ribose 5-phosphate isomerase A [Source:HGNC Symbol;Acc:HGNC:10297]	0.42338687	
RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	0.42211142	
PROK2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	0.422	
ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	0.41426215	
HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	0.41162336	
CASC4	cancer susceptibility 4 [Source:HGNC Symbol;Acc:HGNC:24892]	0.4107294	
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	0.4101376	
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	0.40901312	
FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	0.40855607	
FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	0.4017882	
TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	0.40036887	
PNPO	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	0.39968577	
C1QTNF1	C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324]	0.39243877	
DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	0.3921143	
DTX3L	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	0.3900944	
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	0.38886628	
PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	0.38715327	
ACP5	acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]	0.38524476	
DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	0.38476464	
MLN	motilin [Source:HGNC Symbol;Acc:HGNC:7141]	0.3845432	
RNF215	ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]	0.3759772	
ARL5B	ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052]	0.37486672	
CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	0.3735967	
LST1	leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]	0.37253216	
C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	0.36407334	
F5	coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542]	0.35973406	
TPST2	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]	0.3583784	
TPP1	tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]	0.3583268	
APOA5	apolipoprotein A5 [Source:HGNC Symbol;Acc:HGNC:17288]	0.35768896	
SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	0.35555544	
ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	0.35364285	
FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	0.35243487	
CELA2A	chymotrypsin like elastase 2A [Source:HGNC Symbol;Acc:HGNC:24609]	0.34759355	
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	0.34376952	
LILRB2	leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]	0.3436306	
FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	0.34253144	
FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	0.34223425	
UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	0.34137377	
EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	0.34117755	
RPL12	ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302]	0.34035787	
STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	0.3347306	
RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	0.3344325	
OAF	out at first homolog [Source:HGNC Symbol;Acc:HGNC:28752]	0.33236206	
SIGLEC14	sialic acid binding Ig like lectin 14 [Source:HGNC Symbol;Acc:HGNC:32926]	0.33170867	
SIGLEC5	sialic acid binding Ig like lectin 5 [Source:HGNC Symbol;Acc:HGNC:10874]	0.33111763	
PNLIPRP1	pancreatic lipase related protein 1 [Source:HGNC Symbol;Acc:HGNC:9156]	0.3303106	
DNASE1L2	deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]	0.33010677	
LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	0.32741103	
FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	0.32671046	
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	0.32647705	
SWAP70	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	0.3262761	
MAFG	MAF bZIP transcription factor G [Source:HGNC Symbol;Acc:HGNC:6781]	0.32238948	
C11orf87	chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]	0.3221518	
ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]	0.32017806	
FCGR3B	Fc fragment of IgG receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]	0.31994587	
