"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"A1BG",0.217548057551684,0.392136959977171,0.406562222332124,2796.66666666667,2584.14285714286,0.0790343621468204
"A1CF",0.813029695521047,0.577756736499419,0.238254982054013,2060.28571428571,2043.57142857143,0.00814569199249408
"A2M",0.000785156343627654,0.0770342029478148,1.11331640660136,15995.5714285714,24803.9523809524,-0.438691112459288
"A2ML1",0.41890172799414,0.463930950674676,0.333546653006487,1893.47619047619,2878.04761904762,-0.41869776027519
"A4GALT",0.851462940702787,0.587205404176959,0.231209956168566,1310.38095238095,1030.7619047619,0.24001965613267
"A4GNT",0.418656642071989,0.463930950674676,0.333546653006487,1944.2380952381,3311.52380952381,-0.53253827335549
"AAGAB",0.266899868398634,0.410691119701045,0.386484687714961,13248.7619047619,11736.8095238095,0.121174090624757
"AARS",0.206532320330617,0.385745063078897,0.413699623505418,21381.9523809524,18516,0.143911996357433
"AASDHPPT",0.367545484660147,0.449351946869755,0.347413372337734,53402.8095238095,49025.1904761905,0.0855291000257995
"ABCC6",0.365571538320897,0.449090912185412,0.347665733242031,1424.57142857143,1536.38095238095,-0.0755586032416458
"ABHD10",0.265132709004224,0.410137453232177,0.387070569680186,16892.5714285714,14608.6666666667,0.145259004949356
"ABHD12",0.454897669209794,0.471294726065563,0.32670742010338,1021.04761904762,990.380952380952,0.030494787196007
"ABHD14A",0.0674060305575107,0.307616947538499,0.511989741628409,20485.3333333333,16775.380952381,0.199796790804645
"ABHD14B",0.483987592709181,0.482237351461438,0.316739154586185,657.238095238095,713,-0.0814350699571719
"ABL1",0.836337832032889,0.583244268649169,0.234149520183193,570.714285714286,615.857142857143,-0.0761263165467597
"ABL2",0.776177898448345,0.568779657706221,0.245055944458175,1579.69047619048,1574.38095238095,0.00336677779507394
"ABLIM3",0.0189804475940237,0.220818081692132,0.655965367276195,718.52380952381,504.333333333333,0.353961417669982
"ABO",0.318918852320046,0.429427828724304,0.367109814883962,13561.1904761905,15017.5238095238,-0.10200570130478
"ABY",0.859891050078738,0.587993115718661,0.230627758656684,5873.7619047619,6062.7619047619,-0.0316701579094286
"ACAA1",0.0706536225254837,0.309651746638871,0.509126465941883,26840.7619047619,15899.380952381,0.523641523958487
"ACAD8",0.827875825313326,0.580573889398382,0.236142499929065,1633.66666666667,1626.47619047619,0.00441114893736419
"ACADL",0.228749105560001,0.395830110201183,0.402491172744964,577.238095238095,622.571428571429,-0.0756035416614446
"ACADM",0.380237286592698,0.453098571188884,0.343807307332538,4681.47619047619,4293,0.0866276962664509
"ACADS",0.433479065692114,0.467312908150068,0.330392222697233,3297.7619047619,3414.61904761905,-0.0348219064211896
"ACADSB",0.693662150904441,0.545915091456269,0.262874899748649,4532.80952380952,5649,-0.220136587163694
"ACADVL",0.119136352214954,0.34399417783098,0.463448907885668,80887,67917.0476190476,0.174766046387518
"ACAN",0.179561153732946,0.372974730128036,0.428320591616835,1436.38095238095,1576.2380952381,-0.0929143330666216
"ACAP2",0.360325319965796,0.446703671298649,0.349980478201561,1773.28571428571,1691.95238095238,0.0469510443356705
"ACAT1",0.00115049069924705,0.0940652719833763,1.02657068443401,39653.1428571429,21894.7619047619,0.593922784154039
"ACAT2",0.103502042875132,0.332086469964827,0.478748818286938,34233.8571428571,25888.1428571429,0.279430070166496
"ACBD6",0.393101057907067,0.458057048726829,0.339080429410243,71673.1666666667,77981.6190476191,-0.0843567126621655
"ACBD7",0.381104839529285,0.453229286130958,0.343682035273469,5104.04761904762,1585.95238095238,1.16884877760796
"ACE",0.0361711999999923,0.25859617568295,0.58737790208545,839.714285714286,1025.47619047619,-0.199850661841239
"ACE2",0.13326529059147,0.355028677317953,0.449736565542288,686.428571428571,633.380952380952,0.0804301107192064
"ACHE",0.373159761590434,0.45141964358543,0.345419546465305,1091.38095238095,1119.33333333333,-0.0252894468333924
"ACLY",0.667129219402663,0.539133585646042,0.268303612696657,1414.2380952381,1393.7619047619,0.0145844397616942
"ACOT13",0.638813213961724,0.5312830439883,0.274674044470134,91988.6190476191,88338.3333333333,0.0404907239029166
"ACOT8",0.208917718704674,0.387065968918088,0.41221501044488,10440.2857142857,8480.19047619048,0.207939037982299
"ACP1",0.326961134597311,0.433828026887236,0.362682394393546,7808.09523809524,8123.33333333333,-0.039579532430651
"ACP2",0.606935861640649,0.519885293936573,0.284092467337583,1199.04761904762,1217.57142857143,-0.0153306515920693
"ACP5",0.265022680514418,0.410137453232177,0.387070569680186,8049.57142857143,6973.09523809524,0.143559645057351
"ACP6",0.643063667250004,0.532187882904235,0.27393501788635,7564.66666666667,7207.42857142857,0.0483760435310545
"ACPL2",0.827986054248075,0.580573889398382,0.236142499929065,3884.19047619048,3842.33333333333,0.0108347695195161
"ACPP",0.739953003660011,0.559028428046232,0.252566106550629,772.619047619048,790.285714285714,-0.0226084398804679
"ACRV1",0.284823887590126,0.415558958030859,0.38136735134799,424.52380952381,458.785714285714,-0.0776151550687161
"ACSF2",0.847343276705635,0.586011950716378,0.232093527194784,3859.95238095238,3905.52380952381,-0.0117370655984279
"ACTN1",0.472689725247411,0.478314085553718,0.320286829690064,26089.380952381,23856.5714285714,0.0894686604978262
"ACTN2",0.122583366876813,0.346830772345723,0.459882376977092,2616.33333333333,1848.7619047619,0.347257672097075
"ACVR1B",0.333549697152176,0.436820697687133,0.359696791827247,399.047619047619,368.285714285714,0.0802217213088864
"ACVR2A",0.517798089804218,0.493440349060374,0.30676534074454,1577.52380952381,1617.2380952381,-0.0248634062808431
"ACVR2B",0.911708367586553,0.600050914540798,0.221811898006375,776.047619047619,773.714285714286,0.00301121751576816
"ACVRL1",0.379737311465643,0.453098571188884,0.343807307332538,516.333333333333,571.904761904762,-0.102219925601847
"ACY1",0.0339423465631547,0.252349304444947,0.597997887982555,10395.2380952381,5302.42857142857,0.673182889201335
"ACYP2",0.153100287209023,0.365128081109213,0.43755476523761,27229.5238095238,23167.1904761905,0.16156474468781
"ADAM10",0.987983617412509,0.618630571325535,0.208568621950169,2131.97619047619,2108.07142857143,0.0112758239205454
"ADAM11",0.897737040532473,0.5973072587572,0.223802207471172,10002.2857142857,13563.8095238095,-0.304591543086353
"ADAM12",0.554904959164945,0.505082723657006,0.296637486266404,848.809523809524,825.714285714286,0.027585994947964
"ADAM15",0.443670799866281,0.469216286049648,0.328626922347759,2779.11904761905,3151.95238095238,-0.125888076178802
"ADAM17",0.754444071923083,0.563364169775045,0.249210777804296,926.52380952381,917.833333333333,0.00942392371352641
"ADAM19",0.0473466404867509,0.278163503133697,0.555699852875366,671.666666666667,870.52380952381,-0.259332924670989
"ADAM22",0.106465430947515,0.336261089194913,0.473323384620024,5325.90476190476,6149.2380952381,-0.143745581689025
"ADAM23",0.004886583839678,0.125915521957958,0.899920729898689,2254.90476190476,2955.33333333333,-0.270503709780575
"ADAM29",0.836322389229029,0.583244268649169,0.234149520183193,1594.28571428571,1627.42857142857,-0.020575397716455
"ADAM30",0.43773100225014,0.469216286049648,0.328626922347759,519.857142857143,492.142857142857,0.0547850141644009
"ADAM32",0.619580547322166,0.525544764036915,0.27939028639835,136.190476190476,139.666666666667,-0.0252041651635526
"ADAM7",0.495382180566489,0.485252911785442,0.314031849925059,4468.71428571429,1346.09523809524,1.19989275031507
"ADAM9",0.343540865446579,0.439916955407746,0.356629298995824,2588.09523809524,2183.2380952381,0.170113036317782
"ADAMDEC1",0.303805130553872,0.421800324755844,0.374893090220959,2807.57142857143,2624.09523809524,0.0675836839335336
"ADAMTS1",0.571648146195076,0.509671250825048,0.292709863095958,815.238095238095,804.761904761905,0.0129337487845681
"ADAMTS13",0.103638351024566,0.332086469964827,0.478748818286938,17778.7142857143,21537.1428571429,-0.191777104262052
"ADAMTS15",0.79114039993743,0.572684196742601,0.242084801105599,1202.19047619048,1261.52380952381,-0.0481750732920633
"ADAMTS3",0.787938019925132,0.572153530089919,0.242487418192884,1434.33333333333,1342.90476190476,0.0658651646035262
"ADAMTS4",0.236011014431716,0.398995904826532,0.39903156175778,230.095238095238,239.857142857143,-0.0415502061309996
"ADAMTS5",0.640452702425944,0.5312830439883,0.274674044470134,625.857142857143,710.52380952381,-0.126880319158413
"ADAMTS6",0.119052236862994,0.34399417783098,0.463448907885668,3182.47619047619,2917.42857142857,0.0869569679533635
"ADAMTSL1",0.668804864043115,0.53918527441015,0.268261977247483,9539.19047619048,9999.61904761905,-0.0471383709157987
"ADAMTSL2",0.00568279006061979,0.134892757057103,0.870011368746038,1106.61904761905,886.666666666667,0.221595629949108
"ADCK4",0.247161087045715,0.404936156859319,0.392613443228094,287.190476190476,329.47619047619,-0.137358416047824
"ADCYAP1",0.138111110200601,0.356963953652368,0.447375636885714,392.269841269841,423.365079365079,-0.0762849050406094
"ADGRE2",0.7982548391871,0.573487954273369,0.241475699728794,4640.42857142857,4919.2380952381,-0.0583469333160846
"ADGRF1",0.0934473970138145,0.327824508288625,0.484358581526249,7724.04761904762,6799.04761904762,0.12755598327245
"ADGRF5",0.521002436893598,0.495137929950046,0.305273803345266,1600.52380952381,1397.57142857143,0.135594920200687
"ADGRG5",0.692787877880851,0.545616925568053,0.263112165905106,1573.57142857143,1527.28571428571,0.0298557142229437
"ADH1A",0.00136918706406997,0.10082423239692,0.996435075713111,16352.3333333333,7029.33333333333,0.844278729027814
"ADH1B",0.00404821939662789,0.116343888849394,0.934256423797008,1077.28571428571,762.47619047619,0.345628646758292
"ADH1C",0.0061256679046651,0.143097355368024,0.84436839251337,15684.5714285714,4022.71428571429,1.36072064738038
"ADH4",0.00663948361764991,0.145840521803082,0.836121790487243,22652.4761904762,8478.85714285714,0.982693500204524
"ADH5",0.285986153293464,0.415558958030859,0.38136735134799,25167.0476190476,22847.7619047619,0.0966823393851274
"ADH6",0.164394613147341,0.369345398825724,0.432567306896264,17379.0952380952,14321.380952381,0.193514468730149
"ADH7",0.267260706262146,0.410691119701045,0.386484687714961,3382.09523809524,4250.47619047619,-0.228535611109445
"ADI1",0.63363303482167,0.52968843461352,0.275979509485326,1298.04761904762,1269.2380952381,0.0224445086522183
"ADIPOQ",0.0118855036106001,0.188090495324604,0.725633149863601,3045.66666666667,4170.7619047619,-0.314378914746797
"ADK",0.0205654385160677,0.229280576235324,0.639632735462489,3042.04761904762,2387.47619047619,0.242294026828784
"ADM",0.115629404021698,0.34217359020473,0.465753513412597,2524.2619047619,2136.11904761905,0.166958051600281
"ADM2",0.43359151336682,0.467312908150068,0.330392222697233,314.666666666667,334,-0.0596271154993094
"ADPGK",0.100292342466258,0.332086469964827,0.478748818286938,2160.42857142857,2696.33333333333,-0.221586210654416
"ADPRH",0.669338674841525,0.539318045013341,0.26815504843312,4243.47619047619,4454.52380952381,-0.0485373766242587
"ADPRHL2",0.417356431189706,0.463930950674676,0.333546653006487,33663.4761904762,30656.6666666667,0.0935633088164944
"ADRBK1",0.189442618890744,0.375744378751536,0.425107507868001,63508.0476190476,54703.4285714286,0.14924024501233
"ADRM1",0.177198153489227,0.372974730128036,0.428320591616835,1432.61904761905,991.571428571429,0.367968563646759
"ADSL",0.912085134584249,0.600050914540798,0.221811898006375,13320.0476190476,13430.9523809524,-0.00829168235313442
"ADSS",0.223566713163074,0.393801692943661,0.404722421172736,1017.95238095238,681.571428571429,0.401147362495064
"ADSSL1",0.000100294161592037,0.0295205440085926,1.52987564353758,4196.61904761905,1527.04761904762,1.01094300199255
"ADY",0.287891781360796,0.415993880710149,0.380913057818838,4712.19047619048,6513.2380952381,-0.323683866646844
"AES",0.912619624568478,0.600268381535039,0.22165453201728,1328.57142857143,1320.85714285714,0.0058233745931766
"AFAP1L1",0.189263317561975,0.375641876765072,0.425225998316967,328.238095238095,365.666666666667,-0.107982926444892
"AFM",0.0838192235108125,0.319163224122191,0.495987156421976,42573.0476190476,47193.8571428571,-0.103042370796598
"AFP",0.440888137672475,0.469216286049648,0.328626922347759,572.714285714286,556.619047619048,0.0285058937028464
