"proteinId","coefficient","pValue","fdr"
"A1BG",-250.677666721282,0.732047522253636,0.450314361570826
"A1CF",-167.580957466228,0.662939104170673,0.428004213753184
"A2M",-791.502357370221,0.000888946676841364,0.0263465242413326
"A2ML1",-49.697515676097,0.868388264187155,0.489018889402094
"A4GALT",-416.359488411753,0.261415284278807,0.261875704848276
"A4GNT",-324.7188890394,0.171526264804842,0.211499728068348
"AAGAB",450.134570703632,0.128274704773119,0.181202200355168
"AARS",430.369875851745,0.0791662264899179,0.144160753349749
"AASDHPPT",492.333037173129,0.0635897935740516,0.131568769952247
"ABCC6",-554.656208881949,0.38472830358339,0.32121993776513
"ABHD10",341.355746340145,0.0929752700642051,0.157056667886326
"ABHD12",791.195126315515,0.270382919765506,0.266425437458642
"ABHD14A",648.509165591874,0.0399729146355943,0.109305947271562
"ABHD14B",-42.9872387764105,0.928697573189158,0.504166614122087
"ABL1",-364.182039764682,0.331197384106889,0.298044258136412
"ABL2",879.421773750024,0.10369027981924,0.164251482747852
"ABLIM3",456.614373224294,0.123268617425765,0.178023618028597
"ABO",97.6084335872692,0.277372599331196,0.270670460987922
"ABY",341.912602638473,0.528444092615007,0.382495651347
"ACAA1",556.715635129391,0.021796426691291,0.0859992223115874
"ACAD8",76.7908193791096,0.949336184231626,0.508850443708139
"ACADL",-689.833620238042,0.168916292699795,0.20932448513746
"ACADM",227.256617848141,0.185192839124192,0.220655241682344
"ACADS",-700.812718578122,0.315318040015227,0.290247899298941
"ACADSB",-78.1503261084206,0.758844708264053,0.458479073036651
"ACADVL",399.545464407831,0.0301862327865589,0.0958954528951189
"ACAN",-1011.44400415906,0.121739120763846,0.177635221650266
"ACAP2",1001.68741540531,0.105672017950635,0.166037428337771
"ACAT1",446.569730465079,0.0240002620351729,0.0888439931842561
"ACAT2",345.434775702587,0.00734477468889537,0.0549132362804927
"ACBD6",149.626430849207,0.746375760555695,0.455392774721081
"ACBD7",90.1121493356795,0.741273227080895,0.453846051079211
"ACE",-1496.60875275888,0.00167346838177857,0.0336696773957577
"ACE2",1516.35946131254,0.0751440324278593,0.141116756619325
"ACHE",-1543.86074755922,0.217494414047696,0.240070642348497
"ACLY",-129.298262604713,0.908448335669113,0.500879203361207
"ACOT13",255.832848213006,0.157273181932184,0.200312673914977
"ACOT8",515.812598342804,0.0350602755762066,0.103414138866662
"ACP1",167.615972099062,0.45759053524185,0.352885546820675
"ACP2",-148.914815863579,0.433126586127186,0.342888108661901
"ACP5",752.599815707218,0.104810072641841,0.165308350194406
"ACP6",195.122907460436,0.66173658112912,0.427910788915821
"ACPL2",-87.9126218939072,0.908784370880952,0.500888503629289
"ACPP",-592.293946844498,0.45684781782827,0.352532491439932
"ACRV1",67.2557058173794,0.920343855284148,0.503558385138875
"ACSF2",271.760080645475,0.314102762230518,0.289790286094493
"ACTN1",297.157052400827,0.113305991332225,0.171919630553341
"ACTN2",570.595572772358,0.00150321735545627,0.0320806650169569
"ACVR1B",-439.943577311514,0.389069048863714,0.323361778635745
"ACVR2A",-1069.57005772668,0.224668824359922,0.24500081750568
"ACVR2B",-1027.65378639624,0.15516812284881,0.199312742507143
"ACVRL1",-115.362499503123,0.802786168301663,0.473807110692519
"ACY1",438.706801658473,0.0189048917938884,0.082222084893473
"ACYP2",548.792989138756,0.0258851269088435,0.0915456538807409
"ADAM10",-367.710206386605,0.554034519181262,0.392272160687899
"ADAM11",-344.565380678761,0.27767246445231,0.270749555599049
"ADAM12",-19.3843069899885,0.961686504435814,0.511720075692256
"ADAM15",-361.808244252333,0.377739872156395,0.318195733122958
"ADAM17",1068.57990996388,0.2540951669828,0.259035361936194
"ADAM19",-846.10058842286,0.0651005243306868,0.132706548851134
"ADAM22",-127.25342902345,0.734465382312368,0.451170625678445
"ADAM23",-1138.93552225035,0.00273056752290358,0.0394047275737414
"ADAM29",-208.025507042535,0.647982443214272,0.424114496380758
"ADAM30",-41.109188665949,0.913266631499938,0.501489622235647
"ADAM32",-1109.94472510241,0.0462828345034273,0.116642546738014
"ADAM7",254.811812251741,0.175658809155976,0.213904316884468
"ADAM9",73.1696683620983,0.821656799632915,0.477779802619003
"ADAMDEC1",449.476934297351,0.245888399048644,0.255138625381526
"ADAMTS1",118.507301896232,0.776358497733803,0.464187498636604
"ADAMTS13",-395.696334416009,0.247807893644244,0.256163675242068
"ADAMTS15",-660.69458842257,0.233985631688829,0.250049739376812
"ADAMTS3",207.99354262429,0.72355809564457,0.447092559104343
"ADAMTS4",-878.828053476371,0.202054645721683,0.231344866203154
"ADAMTS5",-427.747214026813,0.370929472297568,0.316206549592679
"ADAMTS6",348.460352707784,0.49610878603169,0.369242620233826
"ADAMTSL1",-203.389390957547,0.609489238158132,0.410793143341911
"ADAMTSL2",1826.56116351992,0.000111027038828723,0.0137972920284194
"ADCK4",-1017.09720009666,0.0323775540865935,0.100528608995973
"ADCYAP1",-778.14057594752,0.229750366435703,0.247829621866871
"ADGRE2",225.12016987608,0.398893319936396,0.327848018641718
"ADGRF1",827.234986303962,0.179719552329136,0.216742723918956
"ADGRF5",-122.234949071468,0.644927123506111,0.423086609872785
"ADGRG5",276.845276097195,0.622288589419637,0.415084113144929
"ADH1A",745.750363935105,0.00037449263088441,0.0196057593512941
"ADH1B",449.031980401102,0.252394472520838,0.258529118270018
"ADH1C",448.23001368916,0.000181884442418805,0.0148559426707811
"ADH4",536.179248096962,0.0017026739937852,0.0337091689032365
"ADH5",476.652041337217,0.0736833924837202,0.140266130468397
"ADH6",431.195278928653,0.0537110310150003,0.123416816886997
"ADH7",-851.6080211516,0.0386035746848421,0.107823760669827
"ADI1",-110.386046954787,0.792998433701486,0.470950632443254
"ADIPOQ",-512.752451323966,0.0738482165797729,0.140305102493267
"ADK",928.601205110163,0.0261165542503386,0.0915456538807409
"ADM",1580.60012877887,0.00422577229340601,0.0445004891133118
"ADM2",-548.483380030309,0.24347454327092,0.254159512838964
"ADPGK",-875.495573010297,0.0793546898362398,0.144397689954364
"ADPRH",-523.888554865174,0.426284656494401,0.339535355191994
"ADPRHL2",639.082043947799,0.0536064601923054,0.123416816886997
"ADRBK1",501.666764662742,0.0274351002571049,0.0924990020085108
"ADRM1",245.336351413175,0.613382337971974,0.412038882278171
"ADSL",-377.116803372391,0.421635282365476,0.337570506803458
"ADSS",1061.20889910906,0.00498261110503242,0.0474253122565017
"ADSSL1",632.975649284467,0.00682341131139239,0.0536404557384555
"ADY",-528.617501297565,0.257931117789162,0.260321375158956
"AES",141.104854709147,0.818448775262181,0.477133998896107
"AFAP1L1",-565.819163554119,0.132004842041643,0.184042472773131
"AFM",-1067.10897939747,0.0312844219110024,0.0983739154309521
"AFP",65.9596670703804,0.93655277840056,0.505829003021334
"AGA",-354.89307937078,0.35035906867296,0.3069129937702
"AGAP2",427.580564639634,0.0993755120535556,0.160719781240271
"AGAP3",18.5100869801437,0.967264418183323,0.512572009916348
"AGER",164.057711743996,0.524722011668411,0.381027439396098
"AGFG1",377.185641358273,0.046423070359123,0.11687103719224
"AGGF1",337.799491190524,0.360628706992517,0.311928348613952
"AGO1",560.716581745951,0.019188047715102,0.0826128295622365
"AGO3",1059.70436812489,0.00078656800918488,0.0256354945668065
"AGR2",-798.458240509915,0.559249524521571,0.394073899751135
"AGR3",-51.518473355508,0.805333691902662,0.473919063613715
"AGRN",683.422665287095,0.151481670551179,0.196744906183008
"AGRP",230.124686640063,0.531123862465829,0.383395511937428
"AGT",108.83703450241,0.803949648763268,0.473919063613715
"AHCYL1",372.376008428202,0.0453632880572204,0.115342273386804
"AHSA1",636.346116701014,0.0255115753979806,0.0915456538807409
"AHSG",-1923.10554659999,3.07755586817859e-05,0.00828273436879092
"AHSP",-877.263280350516,0.0824996779400848,0.14719814854324
"AIDA",460.776870495507,0.167052607377919,0.208161577193225
"AIF1",-76.3172217256533,0.810950948087448,0.474701373264989
"AIF1L",1132.29567369122,0.0352585977926966,0.10346869832786
"AIFM1",609.889146314105,0.0491262008979516,0.119518701817496
"AIMP1",-730.847206232209,0.408521641805402,0.332230631467716
"AIP",658.284596355811,0.0175752709131937,0.0804031296074485
"AK1",324.201159234089,0.298891686782802,0.282102999582539
"AK2",411.220594056455,0.184248441836846,0.220361464105756
"AK4",-954.657059621775,0.127785662105711,0.181119180119055
"AK5",-212.554623273015,0.61880132005694,0.414666049472624
"AKAP7",-369.891826395663,0.58208548583326,0.401253540250973
"AKR1A1",594.736108713237,0.0185423370753011,0.0819453243395385
"AKR1B1",522.434164701567,0.0414967799478319,0.111569670140211
"AKR1B10",-257.486547598977,0.30183018838755,0.283363445278701
"AKR1C1",-17.0279415712971,0.94571863037828,0.508243729707015
"AKR1C3",676.534383428405,0.0298551283826968,0.0953069959955439
"AKR1C4",440.222081159067,0.00172805370851732,0.0337429032280464
"AKR1D1",428.92291911815,0.0699660808711149,0.137789887463477
"AKR7A2",427.991264626777,0.0422775559631983,0.112203094496809
"AKR7A3",405.463504674088,0.02324576530283,0.0880151925603707
"AKT1",450.895881987773,0.0442253782950212,0.113801843962707
"AKT2",362.368142706241,0.098962495571127,0.160719781240271
"AKT3",143.008805223454,0.529226618677147,0.382783874711021
"ALAD",-80.6138539406698,0.789810919522917,0.469756133357835
"ALB",-2105.9711271427,0.00190225984762556,0.0343617939504775
"ALCAM",-906.158935250282,0.111431286865713,0.171162175967122
"ALDH1A1",553.733796068562,0.00904995225473115,0.0602046316358148
"ALDH1A3",841.434744473823,0.00631671451779546,0.0515797434742016
"ALDH2",389.950451166022,0.0112560776593398,0.0666403630490778
"ALDH3A1",-160.722018677663,0.716081477343308,0.444805005425108
"ALDH3B1",-535.460014990282,0.362642634827266,0.312914919120266
"ALDH5A1",1051.62968099254,0.0372793680147753,0.106074937430348
"ALDH6A1",285.641773224525,0.146557935432808,0.193756601700516
"ALDOA",473.286727395949,0.0386466220107552,0.107823760669827
"ALDOB",491.837043231091,0.00957336067651711,0.0616963898728758
"ALDOC",865.455041232183,0.00863183429281167,0.058839966163726
"ALK",705.689268502067,0.549588569263741,0.390266671423057
"ALKBH2",213.876403425795,0.397623989800095,0.32723948916906
"ALKBH3",657.363370798063,0.0170726685557731,0.0794175220411566
"ALOX15B",85.8173261775988,0.803573888738579,0.473919063613715
"ALPI",-258.252334239244,0.414820591717937,0.335150495060759
"ALPL",115.778813847515,0.83051785197156,0.479538677364492
"ALPP",285.383481366303,0.400110911099019,0.328412465907956
"ALPPL2",-230.204461572728,0.473012073856369,0.360176539261943
"AMBP",53.8753476834414,0.936126994865286,0.50581982437364
"AMH",-775.518314028483,0.0296522235253982,0.0951764369960942
"AMICA1",267.944958591621,0.665724071473069,0.428868894734133
"AMIGO1",-82.5619447366697,0.602600281424806,0.408566751068759
"AMIGO2",739.277222075653,0.0162761744183972,0.077758724986491
"AMMECR1L",2006.293640332,0.00188012310982016,0.0342116432498316
"AMN",-1100.02541140779,0.0547132717787479,0.1244790646289
"AMPD2",423.285565109522,0.0186770740155672,0.0819453243395385
"AMY1A",-693.774883630274,0.00418665579051511,0.0442769762435809
"AMY2A",-264.335690624869,0.498182138189576,0.370173820980714
"AMY2B",-655.185980147204,0.0854772424967514,0.149492917919106
"ANAPC10",228.984629556074,0.763655342123329,0.459546313456897
"ANAPC7",-130.705258717941,0.804972684747485,0.473919063613715
"ANG",1263.5974530891,0.0109880598599897,0.0658852741762824
"ANGPT1",829.229979941177,0.00129675602378253,0.0307199112369039
"ANGPT2",-5.50556595573573,0.982536731803876,0.517782374078314
"ANGPT4",222.187763731237,0.658124085701607,0.426913411393807
"ANGPTL1",-169.536430778098,0.823256941776249,0.477779802619003
"ANGPTL3",-215.817412090027,0.666456776232984,0.428965019993356
"ANGPTL4",1716.45918787659,0.000821924420796049,0.0256354945668065
"ANGPTL7",-437.841915474496,0.542427628782114,0.388076902977822
"ANK2",93.5884394054894,0.908541034106477,0.500879203361207
"ANKRD1",32.9535881162588,0.969358581872955,0.513351971086929
"ANKRD27",-1878.72018667077,0.101321190401737,0.162032577082143
"ANKRD46",465.067780154266,0.312006410869362,0.289187030451805
"ANKRD54",-526.141052826722,0.261891109077968,0.262142242088545
"ANP32A",509.120479150457,0.330906042821235,0.298026149217954
"ANP32B",-488.161601393986,0.49168421633798,0.367275016263646
"ANPEP",-604.492965648806,0.364854450271191,0.313947711437
"ANTXR1",179.291091681857,0.630910252063695,0.41855586024438
"ANTXR2",-968.900947936515,0.000104432828820186,0.0137972920284194
"ANXA1",233.925521009665,0.302525607678291,0.283714567045777
"ANXA10",-470.760379639895,0.309995134592347,0.288294633631834
"ANXA11",385.053791903359,0.123831343978348,0.178183471398463
"ANXA13",222.945146126344,0.739251449103058,0.453281069983139
"ANXA2",-27.4144167138303,0.944506776324439,0.507907959945245
"ANXA3",-217.09466979084,0.515584562625237,0.376842779894689
"ANXA4",316.118909815597,0.1930863266214,0.226048973567737
"ANXA5",-895.31676165521,0.0670731560633784,0.134967670516225
"ANXA6",488.733399227869,0.0626806242217669,0.130916178042444
"ANXA7",478.037620638987,0.0860426795415815,0.14987633999678
"ANXA8",-779.822440961483,0.240742005579961,0.253303454252797
"ANXA9",29.4989492327928,0.876477257775598,0.491649781092541
"AOC1",-40.7848974266497,0.766889710230316,0.460640639019127
"AOC2",-810.996360937486,0.0619861020571665,0.130883750612208
"AP1G2",318.633643064047,0.148451539148268,0.194894644613119
"AP1S2",58.2034944685791,0.912935087489156,0.501489622235647
"AP2A2",635.760899169258,0.0341121747127449,0.102288992790386
"AP4M1",1073.28159549286,0.0339617128290639,0.102245528293995
"APAF1",619.097592926558,0.0250992783790668,0.0905448336318711
"APBB1",24.6917298352828,0.962265273571663,0.511720075692256
"APBB2",-1026.45704977124,0.176689125077643,0.214551816555809
"APBB3",-22.114325816173,0.954426235373468,0.510579408323491
"APCDD1",-375.248392988865,0.487665833306491,0.36604117223835
"APCS",1692.79300514819,0.00796670706558972,0.0567183686117249
"APEX1",296.563964942091,0.366873051083804,0.315112598558695
"APLN",613.074137197756,0.33597005015684,0.299884980617909
"APLP1",-1016.38960958652,1.41066827255411e-05,0.00769088102485539
"APLP2",784.814541037767,0.0109954207785339,0.0658852741762824
"APMAP",28.3302859314849,0.964240282470039,0.511914103968988
