"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"A1BG",0.689741158893586,0.477733689580075,0.32081413137141,2752.28571428571,2714.19444444444,0.0139365314653433
"A1CF",0.814707165676349,0.515857182252707,0.287470518420737,2240,2553.5,-0.130989101238613
"A2M",0.000587437280015719,0.0152421713452073,1.81695316055087,16969.6571428571,28270.3611111111,-0.510387069953637
"A2ML1",0.276079913463349,0.30386932356938,0.517313140910503,1720.31428571429,2376.30555555556,-0.323039995669256
"A4GALT",0.393198363816571,0.361967226121438,0.441330750347963,1130.37142857143,1086.13888888889,0.039917172910033
"A4GNT",0.263207848987746,0.296269912266206,0.528312451119492,1867.6,2850,-0.422664810165914
"AAGAB",0.0350534452128711,0.120366651646531,0.91949382048693,13599.4,11205.6944444444,0.193603592489034
"AARS",0.0661967685331242,0.15594969947201,0.807015457827475,20982.8857142857,18008.9166666667,0.152840133860575
"AASDHPPT",0.0867077395942066,0.177228053981865,0.751467531178249,52403.5714285714,45808.0555555556,0.134514784891638
"ABCC6",0.333414338365723,0.332733294207581,0.47790374025778,1439.85714285714,1540.16666666667,-0.0673467333604208
"ABHD10",0.112494323185667,0.198329614177046,0.702612432978663,16438.1714285714,14024.9166666667,0.158770646848855
"ABHD12",0.261101496861542,0.295543753673423,0.529378215045702,1059.82857142857,998.5,0.0596082961039486
"ABHD14A",0.0255529401703573,0.104003037667638,0.982953975864422,19514.6857142857,16053.75,0.195224828529978
"ABHD14B",0.673923806642636,0.473585337997079,0.324601751651544,698.657142857143,714.083333333333,-0.0218395436079651
"ABL1",0.282334105753792,0.307454402497519,0.512219283830293,553.542857142857,649.111111111111,-0.15926472711455
"ABL2",0.594254155695325,0.446363522526033,0.350311303794838,1669.77142857143,1574.23611111111,0.0589166021378927
"ABLIM3",0.271189317230947,0.301286562340822,0.521020237830035,652.657142857143,758.305555555556,-0.150034469842959
"ABO",0.350478881991012,0.342046691179598,0.465914606407076,14118.0571428571,13830.9722222222,0.0205441852132846
"ABY",0.397302506436713,0.364168329229356,0.438697826358246,5938.48571428571,5763.69444444444,0.0298755049135341
"ACAA1",0.00157461983949807,0.0268631176014165,1.57084358665903,24641.8,13863.9166666667,0.575154646321269
"ACAD8",0.78217416957204,0.506907395674847,0.295071372463035,1670,1657.77777777778,0.00734560898926828
"ACADL",0.851200755608968,0.527555121226959,0.277732156705069,702.457142857143,616.583333333333,0.130390907600322
"ACADM",0.181696304774727,0.246755534522789,0.607733097682635,4947.8,4261.55555555556,0.149308785826344
"ACADS",0.961035528858353,0.561570375500035,0.250595810593727,3468.08571428571,3378.86111111111,0.0260640710422056
"ACADSB",0.458836602584192,0.392195086063067,0.406497852047795,4725.91428571429,4825.94444444444,-0.0209454135685098
"ACADVL",0.0271271284991025,0.107367936787424,0.969125392335486,79739.6285714286,65400.5833333333,0.198235506053428
"ACAN",0.021108975383737,0.0961898024299179,1.01687096728822,1397.2,1619.41666666667,-0.147595768144026
"ACAP2",0.217999419216822,0.269550479143468,0.569359891848035,1737.22857142857,1651.27777777778,0.0507416693850949
"ACAT1",0.000530211118765196,0.0143076235644806,1.84443249471957,36143.9142857143,21021.1111111111,0.541981364494212
"ACAT2",0.0219887862793135,0.0970797262216951,1.01287145710911,33963.4857142857,24543.5277777778,0.324837812762768
"ACBD6",0.927387178654604,0.551840525320129,0.258186409553365,69776.3571428571,72152.7222222222,-0.0334897850387788
"ACBD7",0.461835671610466,0.393053257832378,0.405548599711988,3623.17142857143,1535.16666666667,0.85871077476168
"ACE",0.0212508985518389,0.0962165349863785,1.01675028725253,856.085714285714,1018.58333333333,-0.173797547349197
"ACE2",0.132875678334179,0.213716429598344,0.670162089863873,679.285714285714,638.166666666667,0.0624423436749379
"ACHE",0.268134196601953,0.299484224018895,0.523626050075986,1092.97142857143,1124.72222222222,-0.0286360231090311
"ACLY",0.5503761412639,0.428498903652165,0.368050284915635,1376.68571428571,1407.66666666667,-0.0222545330316906
"ACOT13",0.283420137851179,0.308181092946131,0.511194008969451,88385.6285714286,85275.4444444444,0.0358228435185437
"ACOT8",0.0628140417921551,0.153406209437769,0.814157061052095,10673.5428571429,8558.66666666667,0.220823634514385
"ACP1",0.242833937767393,0.285397525712785,0.544549796371834,7588.91428571429,7598.94444444444,-0.00132081294230303
"ACP2",0.463552199293136,0.393569862034179,0.404978165457618,1456.88571428571,1576.13888888889,-0.0786770299463489
"ACP5",0.070026228765305,0.160938964579379,0.793338797087034,8099.25714285714,7015.19444444444,0.143693915162803
"ACP6",0.344739398869643,0.338896626436968,0.469932754346751,7322.34285714286,6803.55555555556,0.073484987868243
"ACPL2",0.469096191134124,0.395453029515189,0.402905093035531,4108.08571428571,3899.55555555556,0.0520945705316813
"ACPP",0.437994475508024,0.382745431397948,0.417089984510832,781.971428571429,824.5,-0.0529589384754833
"ACRV1",0.888753469471794,0.538818364436497,0.268557610726488,448.757142857143,451.263888888889,-0.00557043096836222
"ACSF2",0.457821162033379,0.391823578820895,0.406909432956682,3791.82857142857,3634.86111111111,0.0422774739314897
"ACTN1",0.167875406916755,0.238049330576814,0.623333035475773,26295.0285714286,23064.9444444444,0.13106598525839
"ACTN2",0.00223129913608392,0.0327763034569132,1.48444002815386,2898,1471.08333333333,0.678021753079345
"ACVR1B",0.680371579936869,0.475810204946104,0.322566247661818,382.142857142857,424.555555555556,-0.105248359835887
"ACVR2A",0.368568750548087,0.349709630849707,0.45629240724669,1576.11428571429,1614.25,-0.0239079474017618
"ACVR2B",0.316446341731056,0.326013342683897,0.486764625283563,751.657142857143,786.277777777778,-0.0450298439058463
"ACVRL1",0.664113078957248,0.469774501269447,0.328110559841319,588.971428571429,557.388888888889,0.0551144930778761
"ACY1",0.00252547329501193,0.0344738000300493,1.46251084188592,9570.45714285714,4774.22222222222,0.695449897380684
"ACYP2",0.0347819352836573,0.120366651646531,0.91949382048693,26669.8571428571,21660.0555555556,0.208064175244962
"ADAM10",0.619354257859965,0.454779058866035,0.342199541408031,2262,2160.11111111111,0.0460897169916451
"ADAM11",0.44555416793015,0.386387968178285,0.412976405639396,10469.4571428571,13048,-0.220172690600221
"ADAM12",0.720621551462715,0.48754785442133,0.311982750445179,822.028571428571,960.694444444444,-0.155881249697536
"ADAM15",0.471187174917524,0.396342077069911,0.401929818987448,2781.55714285714,3007.125,-0.0779735785912318
"ADAM17",0.616396792737195,0.454402604124372,0.342559188402662,937.157142857143,923.041666666667,0.0151766005343435
"ADAM19",0.0680654991035561,0.158352581169392,0.800374853173107,687.428571428571,811.138888888889,-0.165481367749949
"ADAM22",0.578832149464829,0.440486484914267,0.356067412149097,6980.17142857143,6013.94444444444,0.148992629620889
"ADAM23",0.00925292292392665,0.0659156450577095,1.18101149351183,2440.08571428571,2895.11111111111,-0.170990323143984
"ADAM29",0.476810142744058,0.398717405099245,0.399334805788389,1595.6,1958.61111111111,-0.204985764225725
"ADAM30",0.369605583280642,0.350060941562477,0.455856343419995,739.085714285714,518.25,0.354956149761181
"ADAM32",0.285114570175588,0.309358676268476,0.509537699257096,133.914285714286,143.305555555556,-0.0677791663552473
"ADAM7",0.790989995738643,0.508569950667295,0.29364930409919,3131.2,2979.86111111111,0.0495396252381961
"ADAM9",0.159607507153561,0.232683490610097,0.63323442973987,2579.97142857143,2158.75,0.178248974196335
