"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"A1BG",0.538704350282732,0.481318363719248,0.317567568387477,2668.29411764706,2753.33333333333,-0.0313729378891236
"A1CF",0.812119828726105,0.570730327373918,0.243569049369392,2228.35294117647,2452.66666666667,-0.0959131468361391
"A2M",0.267138942822618,0.363013701931677,0.440076982233823,18141.5882352941,24134.5185185185,-0.285436124230635
"A2ML1",0.836490592853616,0.577892834241943,0.238152690666819,1912.47058823529,2097.14814814815,-0.0921824891869992
"A4GALT",0.222238104661009,0.339775304686807,0.468808189410452,907.176470588235,1171.14814814815,-0.255402873475814
"A4GNT",0.642179655594814,0.51953381806592,0.28438617761326,1734.17647058824,2564.53703703704,-0.391245325956618
"AAGAB",0.275528953551005,0.36565435623457,0.436929248228067,13632.1176470588,11993.2962962963,0.128080748548243
"AARS",0.277038769549913,0.366922309147829,0.435425882015513,20442.0588235294,19170.5,0.0642218463467934
"AASDHPPT",0.182267073317783,0.321623143788241,0.492652707256064,52690.5294117647,47916.2222222222,0.0949816162373172
"ABCC6",0.140528185925422,0.301753344576654,0.520347907566535,1358.11764705882,1532.46296296296,-0.120776562836882
"ABHD10",0.119969080501171,0.295164290068699,0.529936186023174,17172.7647058824,14598.0740740741,0.162435074230901
"ABHD12",0.587850745715211,0.500149975468755,0.300899748159933,987.882352941176,1041.59259259259,-0.0529425451754737
"ABHD14A",0.421332325034907,0.434849158399373,0.361661366115622,18232.5882352941,17611.0185185185,0.0346857969720068
"ABHD14B",0.811667533049798,0.570703828986835,0.243589213656972,705.529411764706,706.777777777778,-0.001767839670346
"ABL1",0.121404334650071,0.295164290068699,0.529936186023174,494.529411764706,635.833333333333,-0.251329847411422
"ABL2",0.74271001486774,0.552541110324249,0.257635403936489,1735.23529411765,1585.47222222222,0.0902607254521924
"ABLIM3",0.525392301937719,0.475554530156871,0.322799676858217,678.352941176471,715,-0.0526148279919309
"ABO",0.216588016636033,0.337322035654615,0.471955287477809,18101.1764705882,12672.7222222222,0.356525107539941
"ABY",0.293621112238586,0.374481555080802,0.426569568415519,6207.70588235294,5737.2037037037,0.0788194725631135
"ACAA1",0.167799963051288,0.313829394629954,0.503306380928458,21709.8235294118,18379.5740740741,0.166524911995385
"ACAD8",0.287666689202744,0.372045749284991,0.429403653020308,1611.52941176471,1680.25925925926,-0.0417644292171205
"ACADL",0.314691237291257,0.383475382156241,0.416262511081022,579.941176470588,683.777777777778,-0.164706300026942
"ACADM",0.43348541620437,0.441022220113761,0.355539528832187,4658.82352941176,4581.27777777778,0.0167850047675875
"ACADS",0.11111692031019,0.292688601219548,0.533594190869409,3818.41176470588,3298.31481481481,0.146422891898466
"ACADSB",0.169006435751757,0.314509513025458,0.502366213837219,3820.47058823529,5077.64814814815,-0.284474585758335
"ACADVL",0.123573156758756,0.295266308539,0.529786105525146,80374.1764705882,69980.5,0.138476304603628
"ACAN",0.0153351159325025,0.168764934819858,0.772717783991155,1320.23529411765,1569.57407407407,-0.172994318323131
"ACAP2",0.69123067994374,0.536238313031353,0.270642159872586,1711.11764705882,1688.14814814815,0.0135145939725619
"ACAT1",0.0818478164604658,0.271007103655316,0.567019325222009,34438.7647058823,26598.8518518519,0.258314759518651
"ACAT2",0.0669959886957165,0.258271310594279,0.587923833635402,34500.8235294118,27514.3518518519,0.226275440110628
"ACBD6",0.558467909812376,0.488601697709078,0.311045028348248,71846.0588235294,70709.0277777778,0.0159525020904783
"ACBD7",0.0242146278513396,0.192283051500851,0.716058994305689,6009.70588235294,1479.85185185185,1.4014338266396
"ACE",0.0369294953261382,0.221049916692793,0.655509644430883,809.294117647059,979.148148148148,-0.190520549046166
"ACE2",0.208750261336984,0.333888745306335,0.476398219860673,689.411764705882,648.685185185185,0.0608911968147502
"ACHE",0.841017617547199,0.579217940933678,0.237157994587455,1102.47058823529,1111.14814814815,-0.00784019779020054
