proteinId,pValue,fdr,log10fdr,meanGroup1,meanGroup2,logFoldChange
A2M,0.000587437,0.015242171,1.816953161,16969.65714,28270.36111,-0.51038707
ACAA1,0.00157462,0.026863118,1.570843587,24641.8,13863.91667,0.575154646
ACAT1,0.000530211,0.014307624,1.844432495,36143.91429,21021.11111,0.541981364
ACTN2,0.002231299,0.032776303,1.484440028,2898,1471.083333,0.678021753
ACY1,0.002525473,0.0344738,1.462510842,9570.457143,4774.222222,0.695449897
ADAMTSL2,0.002312284,0.033181216,1.4791077,1100.971429,920.8055556,0.178699295
ADH1A,0.000266998,0.009798523,2.008839389,15084.85714,6857.722222,0.788316053
ADH1B,0.005208853,0.047809415,1.320486569,1119.514286,780.4722222,0.360751047
ADH1C,0.001251587,0.023618022,1.626756482,14376.88571,3906.5,1.302979926
ADH4,0.002305775,0.033181216,1.4791077,19642.42857,8685,0.81609455
ADIPOQ,0.00064027,0.015946009,1.797347993,2739.828571,3868.694444,-0.345021744
ADSSL1,3.33E-05,0.002532017,2.596533438,3615.942857,1612.5,0.80756687
AGO3,0.000612137,0.01558338,1.807338334,5845.228571,4135.5,0.346017459
AHSG,0.000169599,0.008194779,2.086462754,1453.2,1890.194444,-0.262911683
AKR1C4,0.001343303,0.024658993,1.608024662,11809.57143,3472.638889,1.223995549
ALB,0.000507649,0.014043138,1.852535841,100531.7429,120117.0556,-0.177993203
ALDH1A1,0.004908825,0.046995311,1.327945468,5769.028571,3075.055556,0.62918074
ALDH2,0.001049913,0.021463372,1.668302052,16998.45714,5132.888889,1.197453947
ALDOB,0.002366729,0.033263345,1.478034074,13020.71429,5831.277778,0.803305347
AMY1A,0.001048557,0.021463372,1.668302052,2249.028571,3647.805556,-0.483627392
ANG,0.000953529,0.020264481,1.693264507,6741.285714,5447.972222,0.213007195
ANTXR2,2.97E-05,0.002532017,2.596533438,3542.885714,6122.333333,-0.547001719
AOC2,0.005208688,0.047809415,1.320486569,742.6857143,1051.583333,-0.347779284
APCS,0.000483658,0.013884459,1.857471053,80712.05714,67390.30556,0.180386798
APLP1,0.00057637,0.015242171,1.816953161,2665.514286,4049.361111,-0.418162102
APOM,0.000262361,0.009798523,2.008839389,783.7714286,958.3611111,-0.201107217
ARL15,8.01E-06,0.001800678,2.744563925,2365.314286,1868.833333,0.235596553
ARL5B,0.002541534,0.0344738,1.462510842,17897.08571,13697.88889,0.267396165
ASCC1,0.003915369,0.042607532,1.370513616,3383.342857,2710.833333,0.221608141
ASIP,0.005435525,0.048518643,1.314091351,463.7142857,514.9166667,-0.104736476
ASL,0.000718468,0.016926628,1.77142954,27483.42857,13012.02778,0.747709082
ASPRV1,0.003438334,0.04016565,1.396145198,1043.142857,2608.027778,-0.916356161
ATAD1,0.005447944,0.048518643,1.314091351,1724.457143,1331.833333,0.258355862
ATOX1,0.005276158,0.048121827,1.317657893,4944.485714,3081.972222,0.472703235
B4GALT2,0.00024929,0.009594766,2.017965614,1000.885714,1128.138889,-0.119683952
BMP8B,0.002883412,0.03635897,1.439388429,2673.057143,3070.611111,-0.138653786
C11orf87,0.004517708,0.044963106,1.347143692,8537,7488.333333,0.131063404
C1QTNF3,0.001461984,0.025891847,1.586836976,1630,2069.916667,-0.238928334
C4BPA,0.000295014,0.010206261,1.991133313,15441.6,11987.13889,0.25323085
CA10,0.000721356,0.016926628,1.77142954,1427.085714,2027.5,-0.351169104
CA11,0.005199969,0.047809415,1.320486569,544.6571429,758.3333333,-0.330966542
CA6,0.001883069,0.030067566,1.52190173,1899.2,4645.361111,-0.894436366
CACNA2D3,0.002455812,0.03415954,1.466487985,2548.171429,3093.138889,-0.193810382
CAMP,0.004137478,0.043558603,1.360926053,31219.51429,37726.04167,-0.189307259
CBLN4,0.000194324,0.00832348,2.079695062,1576.828571,2313.194444,-0.383213849
CBR1,0.000225411,0.009156048,2.038291934,5286.142857,4338.444444,0.19757298
CCDC50,0.002736297,0.035983196,1.44390027,7598.057143,5042.916667,0.409907957
CD109,0.001705261,0.028058587,1.551934205,976.8,1217.805556,-0.22052387
CD300LB,0.002968395,0.036913104,1.432819431,190.4857143,215.6666667,-0.124156805
CD86,0.002773604,0.035983196,1.44390027,820.4,1006.416667,-0.20435942
CDCP1,0.000551132,0.014724926,1.831946892,5419.714286,3895.013889,0.330345854
CDH17,0.000348651,0.011169106,1.951981577,3776.942857,6464.694444,-0.537440834
CDH5,0.001332722,0.024632326,1.608494582,9314.828571,11930.05556,-0.247453293
CDON,3.28E-06,0.001237019,2.907623541,4020.485714,6293,-0.448035185
CFP,0.00513374,0.047809415,1.320486569,28550.91429,34809.33333,-0.19819659
CHAD,0.000275739,0.009798523,2.008839389,5475.942857,10582.38889,-0.658826722
CHL1,0.000226022,0.009156048,2.038291934,1362.771429,1806.944444,-0.282116825
CILP,0.002728238,0.035983196,1.44390027,14944.65714,11423.08333,0.268717692
CILP2,3.34E-06,0.001237019,2.907623541,1581.942857,2834.888889,-0.583348996
CKMT1A,0.005644097,0.049426502,1.306040127,33485.74286,51260.02778,-0.425791501
CLEC3B,0.001245546,0.023618022,1.626756482,3369.428571,4103.944444,-0.197205404
CLSTN3,0.000289726,0.010153494,1.993384499,4708.485714,3256.611111,0.368679234
CNP,0.001068009,0.021507449,1.667411093,18704.85714,13278.5,0.342637045
CNTFR,0.004016762,0.043315113,1.36336055,586.1428571,722,-0.208461596
CNTN1,3.33E-05,0.002532017,2.596533438,23765.05714,35048.61111,-0.388519672
CNTN2,0.004949044,0.047024224,1.327678362,2509.314286,3220.555556,-0.249544355
CNTN4,1.15E-05,0.002221323,2.653388354,4449.4,6299.833333,-0.347753922
COL11A2,4.21E-05,0.002916324,2.535164228,4421.914286,9011.722222,-0.7119535
COL13A1,0.000227334,0.009156048,2.038291934,1257.885714,1585.194444,-0.231274771
COL1A1,0.003134519,0.037787583,1.422650884,859.5142857,1143.291667,-0.285299362
COL4A3BP,0.005447502,0.048518643,1.314091351,7924.042857,5758.430556,0.319236573
COMMD1,0.004231093,0.043558603,1.360926053,2219.4,4071.333333,-0.606733657
CPE,0.005126018,0.047809415,1.320486569,1756,2021.111111,-0.14060892
CPT1B,0.000643208,0.015946009,1.797347993,2851.085714,3361.694444,-0.164745272
CR1,0.005718907,0.049781734,1.302929981,7537.428571,9439.472222,-0.225018984
CR2,0.000803692,0.018502822,1.732762021,5185.171429,8844.388889,-0.533980331
CREBBP,0.00066101,0.016069546,1.7939964,9713.114286,6984.972222,0.329715945
CRTAC1,0.000331252,0.011035492,1.957208306,653.1714286,874.3888889,-0.29168561
CRYBB1,0.004504279,0.044963106,1.347143692,1402.857143,996.1388889,0.342379558
CRYZ,0.000518194,0.014124588,1.850024202,19577.05714,12273.88889,0.466884175
CSRP3,0.000350151,0.011169106,1.951981577,2116.085714,1604.555556,0.276721215
CTRB1,0.002441938,0.034142557,1.466703955,1985.342857,1269.555556,0.44712474
CTSV,9.61E-05,0.005642706,2.248512594,1247.771429,1898.861111,-0.419895188
CYB5R3,0.002334755,0.033181216,1.4791077,2308.171429,3163.944444,-0.315363869
DCTPP1,0.002748589,0.035983196,1.44390027,19965.88571,15648.55556,0.243646487
DCXR,0.00313674,0.037787583,1.422650884,5879.2,3129.833333,0.630440943
DDX58,0.003917173,0.042607532,1.370513616,3906.857143,2713.25,0.364586073
DERL1,0.00556429,0.049068978,1.309192987,5258.771429,3806.916667,0.323077843
DHFR,0.000184919,0.008194779,2.086462754,3464.428571,2822.888889,0.204786915
DLG2,0.001847819,0.030038263,1.522325182,14230.28571,9863.444444,0.366537047
DNAJA4,0.00084764,0.019009397,1.72103166,29484.91429,24525.11111,0.184181216
DNAJB4,0.001287804,0.024132704,1.617394013,11478.48571,8298.722222,0.324372922
DNASE1L2,2.92E-05,0.002532017,2.596533438,8740.514286,5681.305556,0.430787973
DTX3L,0.001177181,0.022853198,1.641053011,1596.514286,1231.777778,0.259364208
ECM1,0.004071175,0.043422812,1.362282056,27395.4,31699.75,-0.145933678
EDIL3,0.003587308,0.041368663,1.383328518,1418.8,1914.861111,-0.299833649
EHMT2,0.00018016,0.008194779,2.086462754,1159.542857,1473.083333,-0.239331871
ENPP5,0.000122482,0.00661029,2.179779486,1476.685714,1915.861111,-0.260366994
EPHA4,9.76E-05,0.005642706,2.248512594,14166.54286,18618.77778,-0.273287582
EPHA5,0.00491117,0.046995311,1.327945468,810.9142857,944.2222222,-0.152199184
ERP44,0.003563629,0.04127197,1.384344806,14431.14286,10014.22222,0.365382265
EWSR1,0.005476538,0.048612862,1.313248811,6699.085714,5375.305556,0.220155637
EXOSC8,0.005026604,0.047261932,1.325488528,1888.285714,1380.638889,0.313123033
F8,0.000170072,0.008194779,2.086462754,35196.71429,26002.80556,0.302748296
F9,0.000248025,0.009594766,2.017965614,15685.14286,13297.43056,0.165143124
FAH,0.000431324,0.012515231,1.902561125,14013.6,9467.416667,0.392172208
FAM150B,0.004709784,0.046047976,1.336789451,19863.34286,15619.33333,0.240366502
FAM174A,0.005021705,0.047261932,1.325488528,2188.371429,2939.555556,-0.295100771
FAM210A,0.002570148,0.034677422,1.459953198,8973.828571,6377.305556,0.341566723
FAP,4.39E-07,0.000389177,3.409853282,675.9714286,1073.361111,-0.46239942
FBP1,3.11E-05,0.002532017,2.596533438,23766.45714,8327.527778,1.048708596
FGAFGBFGG,9.75E-05,0.005642706,2.248512594,84877.95714,74038.43056,0.136630136
FGG,2.29E-05,0.002532017,2.596533438,64170.71429,48592.38889,0.278080031
FKBP4,0.00036616,0.011238735,1.949282569,70891.45714,52889.80556,0.292939326
FMOD,0.002827814,0.036164889,1.441712864,11011.82857,16176.38889,-0.384582683
FMR1,0.002914709,0.036413309,1.438739851,4213.8,3220.75,0.268750602
FOXO3,0.004740073,0.046176807,1.3355761,3882.514286,2992.666667,0.260318104
FTCD,0.001474146,0.025891847,1.586836976,48853.74286,12105.72222,1.395152743
FTH1,1.92E-05,0.002532017,2.596533438,28078.2,10812.52778,0.954288033
FTL,1.86E-05,0.002532017,2.596533438,36859.54286,13910.5,0.974470599
FURIN,2.67E-05,0.002532017,2.596533438,5038.771429,3571.972222,0.344044402
GABARAP,0.000783644,0.018229707,1.739220314,4225.228571,3095.277778,0.311195706
GABARAPL1,0.000889613,0.019468045,1.710677654,2569.142857,1928.472222,0.28684423
GALNT13,0.004486101,0.044963106,1.347143692,1738.6,2053.166667,-0.166303125
