"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"A1BG",0.663816585350578,0.625960946043373,0.203452761752746,2751.19047619048,2706.58620689655,0.0163455798894386
"A1CF",0.392954068417149,0.555170121067334,0.255573915400397,2184.61904761905,2709.37931034483,-0.215278107454309
"A2M",0.00516762873042762,0.100846163749789,0.9963406179667,18709.1904761905,28478.7931034483,-0.420144836216129
"A2ML1",0.164807760033175,0.447496828965305,0.3492100378179,1693.02380952381,2574.1724137931,-0.419011923193366
"A4GALT",0.303389095784136,0.519726909299307,0.28422479663172,1106.85714285714,1109.51724137931,-0.00240040655438591
"A4GNT",0.121519045667099,0.401104360124774,0.396742617081336,1827.47619047619,3145.24137931034,-0.542954753295705
"AAGAB",0.119584886007586,0.400385853748521,0.397521275217413,12988.4285714286,11512.7586206897,0.120602985521415
"AARS",0.147736874456678,0.431551045825185,0.364967826579061,20560.9047619048,17902.2068965517,0.138467449990716
"AASDHPPT",0.336221853126925,0.533085843814912,0.273202850085611,50502.1666666667,46969.7931034483,0.0725115444880866
"ABCC6",0.632393699079312,0.619037298420965,0.208283182950156,1469.92857142857,1520.8275862069,-0.0340408425557552
"ABHD10",0.334409153504819,0.533085843814912,0.273202850085611,15787.7142857143,14384.4482758621,0.093084418570197
"ABHD12",0.249233110516476,0.495349944145661,0.305087881641316,1054.61904761905,991.241379310345,0.0619768122717192
"ABHD14A",0.22853542794918,0.484011179990323,0.315144606636521,18144.4285714286,17202.8620689655,0.0532877784906853
"ABHD14B",0.668929377957964,0.627215048977232,0.202583530028078,699.952380952381,715.931034482759,-0.022571536248152
"ABL1",0.706466062627333,0.637884381510168,0.195258031345369,589.285714285714,620.413793103448,-0.0514755139392094
"ABL2",0.463871296898239,0.579328954609416,0.237074765109009,1670.92857142857,1549.5,0.0754472044507056
"ABLIM3",0.936470622506193,0.690620972491083,0.160760237311716,607.47619047619,849.241379310345,-0.33503047422976
"ABO",0.635745120854911,0.619241231227429,0.208140134530585,13304.5476190476,14939.8620689655,-0.115927044301994
"ABY",0.320478226009304,0.52598908310713,0.279023269525983,5931.90476190476,5731.03448275862,0.0344493167397045
"ACAA1",0.158686783374478,0.442100087598606,0.35447939904213,20996.8333333333,16541.275862069,0.238512808108828
"ACAD8",0.91488728259906,0.685846275073472,0.163773215734554,1664.40476190476,1662.93103448276,0.000885830351100796
"ACADL",0.0910965810759578,0.37763385653188,0.422929076222946,585.047619047619,765.896551724138,-0.269353866651585
"ACADM",0.544618050234248,0.599163117202782,0.222454928433273,4657.14285714286,4516.86206896552,0.030584619093953
"ACADS",0.881843186768273,0.677437451089799,0.169130797723799,3448.14285714286,3386.20689655172,0.0181253984552031
