NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	70	0.32671046257019043	0.09257936	Yes	
row_1	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	94	0.2994041442871094	0.18649271	Yes	
row_2	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.2774154	Yes	
row_3	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	117	0.28100699186325073	0.36921483	Yes	
row_4	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	348	0.19360573589801788	0.382516	Yes	
row_5	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	510	0.17034795880317688	0.40333974	Yes	
row_6	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	779	0.14156468212604523	0.39105853	Yes	
row_7	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	886	0.13179554045200348	0.41126195	Yes	
row_8	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	1181	0.10427870601415634	0.380922	No	
row_9	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	1221	0.10110155493021011	0.40574858	No	
row_10	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	1967	0.03984367847442627	0.2546794	No	
row_11	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	2000	0.03743462637066841	0.26000074	No	
row_12	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]	2094	0.030462253838777542	0.249569	No	
row_13	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	2244	0.017701055854558945	0.2225727	No	
row_14	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	2280	0.015310066752135754	0.21991819	No	
row_15	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	2356	0.008662772364914417	0.20624775	No	
row_16	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	2504	-0.0031323484145104885	0.1748759	No	
row_17	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	2624	-0.013460181653499603	0.15309131	No	
row_18	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	2638	-0.014417765662074089	0.15499191	No	
row_19	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	2921	-0.04174955561757088	0.106625125	No	
row_20	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	3212	-0.07193909585475922	0.06647543	No	
row_21	LEFTY2	left-right determination factor 2 [Source:HGNC Symbol;Acc:HGNC:3122]	3339	-0.08583534508943558	0.06707507	No	
row_22	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	3849	-0.15243691205978394	0.005257772	No	
row_23	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	3980	-0.17259281873703003	0.033657864	No	
row_24	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	4408	-0.28429195284843445	0.033509832	No	
