NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	0	0.7243849635124207	0.041007943	Yes	
row_1	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	7	0.5476636290550232	0.070651025	Yes	
row_2	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	12	0.5221647024154663	0.09930411	Yes	
row_3	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	27	0.47191280126571655	0.12284482	Yes	
row_4	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	30	0.4603651165962219	0.14845291	Yes	
row_5	F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	56	0.41192206740379333	0.16610317	Yes	
row_6	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	73	0.3842589557170868	0.18422823	Yes	
row_7	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	82	0.3739759922027588	0.20358521	Yes	
row_8	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	84	0.37139439582824707	0.22438335	Yes	
row_9	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	106	0.35679206252098083	0.23981969	Yes	
row_10	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	125	0.3439728319644928	0.2552106	Yes	
row_11	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	165	0.31509995460510254	0.2642051	Yes	
row_12	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	225	0.29433128237724304	0.26748872	Yes	
row_13	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	254	0.2813032865524292	0.2770643	Yes	
row_14	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	295	0.2707322835922241	0.28332034	Yes	
row_15	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	308	0.2682986259460449	0.2957878	Yes	
row_16	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	316	0.2659856975078583	0.30925816	Yes	
row_17	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	389	0.2460147589445114	0.3068587	Yes	
row_18	CPB2	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]	507	0.22335685789585114	0.29297248	Yes	
row_19	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	625	0.20426085591316223	0.2780052	Yes	
row_20	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	633	0.2033640295267105	0.2879305	Yes	
row_21	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	657	0.1989966332912445	0.29398042	Yes	
row_22	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	718	0.1906278282403946	0.29116654	Yes	
row_23	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	757	0.18637169897556305	0.29310042	Yes	
row_24	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	785	0.1827738881111145	0.29732493	Yes	
