NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PEBP1	phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630]	4	0.626130998134613	0.07032027	Yes	
row_1	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	27	0.5693907737731934	0.13016015	Yes	
row_2	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	108	0.5195823311805725	0.17135951	Yes	
row_3	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	257	0.4675276279449463	0.19142571	Yes	
row_4	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	550	0.3887920379638672	0.1703219	Yes	
row_5	GSTM3	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	768	0.31928521394729614	0.15809102	Yes	
row_6	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	775	0.3172365427017212	0.1928307	Yes	
row_7	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	1054	0.2129041701555252	0.15485369	No	
row_8	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	1172	0.17686991393566132	0.14879608	No	
row_9	ART3	ADP-ribosyltransferase 3 (inactive) [Source:HGNC Symbol;Acc:HGNC:725]	1443	0.09963901340961456	0.09972617	No	
row_10	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	1572	0.06999216228723526	0.07905162	No	
row_11	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	2045	-0.0065457457676529884	-0.02579672	No	
row_12	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	2099	-0.016588030382990837	-0.035766847	No	
row_13	CST8	cystatin 8 [Source:HGNC Symbol;Acc:HGNC:2480]	2168	-0.024694647639989853	-0.04817065	No	
