NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	13	0.5207154154777527	0.029593378	Yes	
row_1	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	45	0.4269920289516449	0.049246993	Yes	
row_2	HDLBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]	53	0.41614702343940735	0.07366627	Yes	
row_3	TPST2	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]	81	0.37499910593032837	0.09097785	Yes	
row_4	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	82	0.3739759922027588	0.11434932	Yes	
row_5	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	126	0.34375473856925964	0.12607935	Yes	
row_6	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	134	0.340541809797287	0.14577371	Yes	
row_7	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	248	0.28426334261894226	0.13790923	Yes	
row_8	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	273	0.27508002519607544	0.14965683	Yes	
row_9	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	294	0.27081412076950073	0.16204508	Yes	
row_10	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	338	0.2601277232170105	0.16854887	Yes	
row_11	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	343	0.2589053809642792	0.18382181	Yes	
row_12	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	378	0.2479686439037323	0.19160701	Yes	
row_13	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	394	0.24446414411067963	0.20348257	Yes	
row_14	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	436	0.23582112789154053	0.20892096	Yes	
row_15	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	478	0.22814325988292694	0.21387951	Yes	
row_16	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	484	0.22762516140937805	0.2269708	Yes	
row_17	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	538	0.21787506341934204	0.22856595	Yes	
row_18	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	553	0.21543315052986145	0.23885404	Yes	
row_19	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	655	0.19914118945598602	0.22839159	Yes	
row_20	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	718	0.1906278282403946	0.22624265	Yes	
row_21	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	727	0.18964916467666626	0.23628022	Yes	
row_22	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	737	0.1887035369873047	0.2460319	Yes	
row_23	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	785	0.1827738881111145	0.24679425	Yes	
row_24	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	827	0.17768022418022156	0.24859914	Yes	
row_25	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	846	0.17577625811100006	0.25550166	Yes	
row_26	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	890	0.170267254114151	0.25638965	Yes	
row_27	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	963	0.16296525299549103	0.25024387	Yes	
row_28	GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	972	0.16215334832668304	0.2585631	Yes	
row_29	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	992	0.15986257791519165	0.2642443	Yes	
row_30	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	1012	0.158002108335495	0.2698092	Yes	
row_31	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1045	0.15413324534893036	0.2721838	Yes	
row_32	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1055	0.15273843705654144	0.27968785	Yes	
row_33	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	1113	0.14634177088737488	0.2759053	Yes	
row_34	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	1118	0.14577820897102356	0.28410843	Yes	
row_35	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1222	0.13322648406028748	0.26907307	No	
row_36	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	1246	0.13036660850048065	0.27200365	No	
row_37	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1265	0.12788508832454681	0.27591324	No	
row_38	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	1284	0.12574928998947144	0.2796893	No	
row_39	XPNPEP1	X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]	1392	0.11307241767644882	0.2624872	No	
row_40	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	1594	0.08995181322097778	0.22252013	No	
row_41	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1613	0.08789261430501938	0.22393037	No	
row_42	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	1645	0.08447986841201782	0.22217885	No	
row_43	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	1693	0.07779990136623383	0.2163809	No	
row_44	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	1700	0.0769745483994484	0.21983054	No	
row_45	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	1820	0.06319642066955566	0.19678973	No	
row_46	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]	1821	0.06293202936649323	0.20072263	No	
row_47	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	1841	0.060482487082481384	0.20019309	No	
row_48	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	1929	0.05040963739156723	0.18361107	No	
row_49	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	1937	0.04989197105169296	0.18514137	No	
row_50	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	1997	0.04271616041660309	0.1744292	No	
row_51	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	2009	0.04095723479986191	0.1744939	No	
row_52	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	2130	0.02948787622153759	0.14911968	No	
row_53	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	2164	0.026080241426825523	0.14326486	No	
row_54	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	2222	0.01906561478972435	0.13152826	No	
row_55	PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	2282	0.01143993716686964	0.11886147	No	
row_56	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	2336	0.006031527649611235	0.107217535	No	
row_57	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	2419	-0.003966386895626783	0.08886709	No	
row_58	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	2497	-0.01386062242090702	0.07226903	No	
row_59	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	2509	-0.01500590518116951	0.07071192	No	
row_60	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	2513	-0.01549840159714222	0.07100006	No	
row_61	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	2620	-0.029277587309479713	0.04878802	No	
row_62	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	2659	-0.03463632985949516	0.042333867	No	
