NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	14	0.4662292003631592	0.04897604	Yes	
row_1	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	51	0.3555554449558258	0.08068869	Yes	
row_2	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	62	0.3347305953502655	0.115862615	Yes	
row_3	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	88	0.30437183380126953	0.14430523	Yes	
row_4	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	116	0.2819351553916931	0.16979569	Yes	
row_5	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	182	0.23980088531970978	0.18211895	Yes	
row_6	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	198	0.2337302565574646	0.20489481	Yes	
row_7	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	235	0.22078844904899597	0.22154969	Yes	
row_8	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	243	0.2188294678926468	0.2444416	Yes	
row_9	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.2466176	Yes	
row_10	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	375	0.18874360620975494	0.25857896	Yes	
row_11	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	460	0.17649254202842712	0.25959888	Yes	
row_12	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	505	0.1706901490688324	0.26887524	Yes	
row_13	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	552	0.16537021100521088	0.27711195	Yes	
row_14	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	655	0.15437641739845276	0.27165368	No	
row_15	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	758	0.14325156807899475	0.26495242	No	
row_16	CRLF2	cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]	860	0.13355495035648346	0.25739038	No	
row_17	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	870	0.13285844027996063	0.27023134	No	
row_18	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	1033	0.11874616146087646	0.24743496	No	
row_19	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	1070	0.1144515797495842	0.25220862	No	
row_20	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	1111	0.11029505729675293	0.25562736	No	
row_21	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	1206	0.10260960459709167	0.24616605	No	
row_22	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	1246	0.09837697446346283	0.2484758	No	
row_23	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	1291	0.09503437578678131	0.24929899	No	
row_24	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	1336	0.09194023907184601	0.24977645	No	
row_25	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	1483	0.08061585575342178	0.2262816	No	
row_26	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	1540	0.07649283856153488	0.22236168	No	
row_27	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	1719	0.06131080165505409	0.18958606	No	
row_28	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	1806	0.053500160574913025	0.17641859	No	
row_29	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	2158	0.024844026193022728	0.10105554	No	
row_30	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2174	0.0227604229003191	0.100259334	No	
row_31	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	2186	0.021942947059869766	0.10026226	No	
row_32	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	2215	0.01978110708296299	0.09623914	No	
row_33	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	2251	0.01715978980064392	0.09036481	No	
row_34	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	2446	0.0014500593533739448	0.047338936	No	
row_35	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	2453	8.871119935065508E-4	0.046102345	No	
row_36	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	2462	-3.594180743675679E-4	0.04436156	No	
row_37	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	2511	-0.0037214106414467096	0.034091696	No	
