NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	32	0.400368869304657	0.014663393	No	
row_1	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	57	0.3425314426422119	0.02797156	No	
row_2	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	94	0.2994041442871094	0.036210142	No	
row_3	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.04821755	No	
row_4	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	124	0.2713448405265808	0.060344264	No	
row_5	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	203	0.23032821714878082	0.055316184	No	
row_6	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	222	0.22513718903064728	0.06356049	No	
row_7	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]	237	0.22001342475414276	0.072428375	No	
row_8	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	239	0.21952074766159058	0.08420651	No	
row_9	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	258	0.21258299052715302	0.091764316	No	
row_10	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	298	0.20394091308116913	0.09410486	No	
row_11	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	310	0.20134028792381287	0.10262946	No	
row_12	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.108420536	No	
row_13	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	336	0.19639688730239868	0.11870824	No	
row_14	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	376	0.1882093995809555	0.12018854	No	
row_15	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	381	0.1874804049730301	0.1295368	No	
row_16	NID2	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]	408	0.18382316827774048	0.13371442	No	
row_17	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	468	0.17538277804851532	0.12997457	No	
row_18	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	502	0.1711665838956833	0.13187855	No	
row_19	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	568	0.16398203372955322	0.12615964	No	
row_20	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	592	0.1613938957452774	0.12978859	No	
row_21	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	645	0.15557734668254852	0.12654728	No	
row_22	NNMT	nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]	691	0.1497768759727478	0.12457035	No	
row_23	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	738	0.14519284665584564	0.122116804	No	
row_24	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	758	0.14325156807899475	0.12565742	No	
row_25	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	802	0.13885833323001862	0.123535305	No	
row_26	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	825	0.13717569410800934	0.12606587	No	
row_27	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	827	0.13715186715126038	0.1333398	No	
row_28	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	870	0.13285844027996063	0.13111554	No	
row_29	GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	879	0.13219426572322845	0.13653682	No	
row_30	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	886	0.13179554045200348	0.14238818	No	
row_31	PRSS2	serine protease 2 [Source:HGNC Symbol;Acc:HGNC:9483]	947	0.12587220966815948	0.13571501	No	
row_32	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	1019	0.1199088916182518	0.12623042	No	
row_33	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	1053	0.11641243100166321	0.12514026	No	
row_34	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	1102	0.11106395721435547	0.12036857	No	
row_35	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1130	0.10919371992349625	0.1202393	No	
row_36	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1142	0.10768395662307739	0.12364248	No	
row_37	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	1162	0.10619709640741348	0.12515685	No	
row_38	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	1175	0.10503335297107697	0.12818915	No	
row_39	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	1192	0.10337018221616745	0.13022673	No	
row_40	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	1220	0.10110682249069214	0.12965526	No	
row_41	THBS2	thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]	1242	0.09862353652715683	0.1303036	No	
row_42	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	1272	0.0961495190858841	0.12900916	No	
row_43	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	1362	0.09012452512979507	0.113828994	No	
row_44	PTHLH	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	1428	0.08519919961690903	0.103802	No	
