NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	30	0.4603651165962219	0.02593615	No	
row_1	SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	195	0.3017226755619049	0.010242023	No	
row_2	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	269	0.2758229076862335	0.013318017	No	
row_3	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	328	0.2621258795261383	0.018817684	No	
row_4	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	431	0.23706211149692535	0.012569336	No	
row_5	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	436	0.23582112789154053	0.028429812	No	
row_6	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	441	0.23526880145072937	0.044251017	No	
row_7	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	525	0.22013023495674133	0.04110235	No	
row_8	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	579	0.21281832456588745	0.044228837	No	
row_9	CLEC4A	C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257]	581	0.21230171620845795	0.059096623	No	
row_10	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	587	0.21163038909435272	0.073010676	No	
row_11	ANXA10	annexin A10 [Source:HGNC Symbol;Acc:HGNC:534]	643	0.2010250985622406	0.07484569	No	
row_12	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	721	0.19009117782115936	0.070920296	No	
row_13	WNT7A	Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]	789	0.18158245086669922	0.06865496	No	
row_14	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	832	0.17721958458423615	0.071741946	No	
row_15	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	890	0.170267254114151	0.07093712	No	
row_16	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	1034	0.15534885227680206	0.049592577	No	
row_17	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	1038	0.15471822023391724	0.059913278	No	
row_18	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	1113	0.14634177088737488	0.05355688	No	
row_19	CFHR2	complement factor H related 2 [Source:HGNC Symbol;Acc:HGNC:4890]	1164	0.13991478085517883	0.052179556	No	
row_20	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	1303	0.1242344081401825	0.02975533	No	
row_21	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	1389	0.1132463738322258	0.018554404	No	
row_22	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1395	0.11276506632566452	0.025439305	No	
row_23	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	1420	0.10968020558357239	0.027801365	No	
row_24	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	1480	0.10339699685573578	0.02178918	No	
row_25	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1523	0.09867820888757706	0.019292008	No	
row_26	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	1546	0.09626859426498413	0.021153528	No	
row_27	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	1604	0.0886865183711052	0.014548454	No	
row_28	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1613	0.08789261430501938	0.018985463	No	
row_29	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	1666	0.08094315230846405	0.012962353	No	
row_30	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1690	0.07821740210056305	0.013313963	No	
row_31	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	1696	0.07761450111865997	0.017699718	No	
row_32	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1725	0.07358226180076599	0.016589275	No	
