NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	1	0.6287229061126709	0.048388977	No	
row_1	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	290	0.20461681485176086	-3.7839662E-4	No	
row_2	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	406	0.1840648055076599	-0.011936928	No	
row_3	MADCAM1	mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]	500	0.17126400768756866	-0.019551383	No	
row_4	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	507	0.17063234746456146	-0.0077035776	No	
row_5	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	524	0.16930712759494781	0.0017991057	No	
row_6	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11804]	583	0.16215693950653076	0.0013297794	No	
row_7	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	661	0.15320433676242828	-0.0040928125	No	
row_8	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	668	0.15226057171821594	0.0063344757	No	
row_9	DSC1	desmocollin 1 [Source:HGNC Symbol;Acc:HGNC:3035]	717	0.14728762209415436	0.0069581	No	
row_10	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	720	0.14682722091674805	0.01786234	No	
row_11	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	724	0.1464899480342865	0.028516239	No	
row_12	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	740	0.14501366019248962	0.0363648	No	
row_13	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	776	0.14191113412380219	0.039488163	No	
row_14	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	785	0.14066605269908905	0.048570428	No	
row_15	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	789	0.1405222862958908	0.0587629	No	
row_16	SYK	spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	885	0.13179928064346313	0.047648475	No	
row_17	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	942	0.12666091322898865	0.044883106	No	
row_18	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	1104	0.11093775182962418	0.01735413	No	
row_19	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	1123	0.10961874574422836	0.02179314	No	
row_20	STX4	syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]	1255	0.09774891287088394	-2.7637783E-5	No	
row_21	CD274	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	1353	0.09047778695821762	-0.014785596	No	
row_22	AMIGO1	adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824]	1452	0.08251935988664627	-0.03038317	No	
row_23	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	1487	0.08038047701120377	-0.03179313	No	
row_24	CDSN	corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]	1670	0.06537599116563797	-0.06755454	No	
row_25	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	1800	0.053777944296598434	-0.092326656	No	
row_26	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1812	0.05254238471388817	-0.090730965	No	
row_27	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	1818	0.051836948841810226	-0.08784423	No	
