NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PABPC4	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	122	0.34508034586906433	2.0178957E-4	Yes	
row_1	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	146	0.3300970494747162	0.021599343	Yes	
row_2	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	171	0.3127024173736572	0.041368775	Yes	
row_3	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	216	0.2967698276042938	0.0553283	Yes	
row_4	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]	249	0.28414419293403625	0.070985876	Yes	
row_5	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	266	0.2768746614456177	0.08967833	Yes	
row_6	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	294	0.27081412076950073	0.10539312	Yes	
row_7	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	355	0.25445863604545593	0.11232208	Yes	
row_8	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	390	0.2457219958305359	0.124430634	Yes	
row_9	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	398	0.24392351508140564	0.14250423	Yes	
row_10	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	444	0.23487907648086548	0.15124972	Yes	
row_11	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	452	0.2329275906085968	0.16843717	Yes	
row_12	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	473	0.22948044538497925	0.18240497	Yes	
row_13	G3BP1	G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]	489	0.22694040834903717	0.19729954	Yes	
row_14	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	527	0.2198101431131363	0.20664099	Yes	
row_15	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	540	0.2174474000930786	0.22144942	Yes	
row_16	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	660	0.19879445433616638	0.210541	Yes	
