NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	18	0.5817891359329224	0.040429194	Yes	
row_1	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	123	0.5117709636688232	0.056233376	Yes	
row_2	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	135	0.5063493847846985	0.092465885	Yes	
row_3	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.4973967373371124	0.1251007	Yes	
row_4	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	211	0.479330837726593	0.15052783	Yes	
row_5	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	266	0.46597301959991455	0.17403765	Yes	
row_6	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	289	0.45919230580329895	0.20420091	Yes	
row_7	TIMM50	translocase of inner mitochondrial membrane 50 [Source:HGNC Symbol;Acc:HGNC:23656]	294	0.4583401679992676	0.23833312	Yes	
row_8	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	301	0.4565257430076599	0.27187842	Yes	
row_9	COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	359	0.4426112473011017	0.29293048	Yes	
row_10	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	366	0.4403226673603058	0.32523745	Yes	
row_11	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	388	0.4343000650405884	0.35372245	Yes	
row_12	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	389	0.43408024311065674	0.38689706	Yes	
row_13	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	397	0.4320336878299713	0.41834643	Yes	
row_14	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	486	0.4079984128475189	0.42980564	Yes	
row_15	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	641	0.3613234758377075	0.42290613	Yes	
row_16	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	644	0.3601970076560974	0.44998598	Yes	
row_17	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	708	0.34022223949432373	0.46186823	Yes	
row_18	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	726	0.3339984118938446	0.48358414	Yes	
row_19	PDHX	pyruvate dehydrogenase complex component X [Source:HGNC Symbol;Acc:HGNC:21350]	819	0.30573344230651855	0.48633125	Yes	
