NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	103	0.522251546382904	-7.796331E-4	No	
row_1	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	152	0.5019598603248596	0.010098481	No	
row_2	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	292	0.45867592096328735	-0.0016529503	No	
row_3	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	319	0.45181918144226074	0.012061324	No	
row_4	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	323	0.45083102583885193	0.030976597	No	
row_5	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	357	0.443455308675766	0.042731278	No	
row_6	EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	429	0.42264482378959656	0.04491732	No	
row_7	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	565	0.3852289915084839	0.030884875	No	
row_8	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	578	0.3823074400424957	0.044769198	No	
row_9	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	637	0.3637009263038635	0.04735671	No	
row_10	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	654	0.35778483748435974	0.05926295	No	
row_11	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	722	0.33571097254753113	0.05858165	No	
row_12	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	820	0.30562740564346313	0.049752567	No	
row_13	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	835	0.2998615503311157	0.059596665	No	
row_14	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	849	0.2951505482196808	0.06946396	No	
row_15	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	886	0.28257763385772705	0.07354071	No	
row_16	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	916	0.2718844413757324	0.07874857	No	
row_17	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	948	0.26074492931365967	0.08301616	No	
row_18	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	956	0.25669658184051514	0.09257971	No	
row_19	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	1020	0.22949440777301788	0.08819278	No	
row_20	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	1045	0.21822722256183624	0.09220796	No	
row_21	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	1070	0.20955243706703186	0.09584601	No	
row_22	TRAT1	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]	1140	0.18505975604057312	0.08815936	No	
row_23	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	1177	0.17333802580833435	0.087487064	No	
row_24	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1194	0.16806426644325256	0.091145456	No	
row_25	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	1201	0.16479995846748352	0.096941926	No	
row_26	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1229	0.15579251945018768	0.09755884	No	
row_27	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	1322	0.12953849136829376	0.08221452	No	
row_28	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	1357	0.12078781425952911	0.07971367	No	
row_29	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	1384	0.11638064682483673	0.07884521	No	
row_30	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	1410	0.10847804695367813	0.07786119	No	
row_31	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1465	0.09503436833620071	0.06968078	No	
row_32	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	1537	0.0778222382068634	0.056876127	No	
row_33	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	1561	0.07264333963394165	0.05479024	No	
row_34	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1628	0.05983392149209976	0.042343557	No	
row_35	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	1664	0.05388376861810684	0.036706146	No	
row_36	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	1693	0.04823381081223488	0.032419097	No	
row_37	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1704	0.04652579873800278	0.03216176	No	
row_38	CD247	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	1724	0.04314757511019707	0.029705578	No	
row_39	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1732	0.04203925281763077	0.029937191	No	
row_40	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	1738	0.04125184565782547	0.030590568	No	
row_41	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	1778	0.03500765189528465	0.02322055	No	
row_42	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	1782	0.03453085571527481	0.024037737	No	
row_43	NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	1845	0.023149315267801285	0.010908236	No	
row_44	ZAP70	zeta chain of T cell receptor associated protein kinase 70 [Source:HGNC Symbol;Acc:HGNC:12858]	1886	0.016796816140413284	0.002518528	No	
row_45	LY86	lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]	1919	0.011879744939506054	-0.0042609577	No	
row_46	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	1942	0.008742962963879108	-0.008896829	No	
row_47	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	2023	-0.004089591559022665	-0.026958894	No	
row_48	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	2049	-0.00744617497548461	-0.032335136	No	
row_49	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	2085	-0.014154348522424698	-0.03969973	No	
row_50	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	2229	-0.0327598974108696	-0.07087927	No	
row_51	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	2230	-0.03286804258823395	-0.069450386	No	
row_52	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]	2337	-0.04672826826572418	-0.09158674	No	
row_53	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	2440	-0.05758801847696304	-0.11233899	No	
row_54	FCGR2B	Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	2470	-0.059837400913238525	-0.11634959	No	
row_55	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	2567	-0.0707869678735733	-0.13516004	No	
row_56	ELANE	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	2613	-0.0757221058011055	-0.14212805	No	
row_57	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2656	-0.07955697178840637	-0.14824533	No	
row_58	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2658	-0.07980968058109283	-0.14500372	No	
row_59	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	2684	-0.08233333379030228	-0.14712435	No	
row_60	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	2720	-0.08485647290945053	-0.15141526	No	
row_61	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	2723	-0.0850113034248352	-0.14817551	No	
row_62	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	2743	-0.0870421975851059	-0.14872342	No	
row_63	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	2780	-0.09064186364412308	-0.15299083	No	
row_64	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2883	-0.0998263731598854	-0.17190683	No	
row_65	CCL11	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	2920	-0.10403001308441162	-0.1755922	No	
row_66	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	2947	-0.10650192946195602	-0.17689012	No	
row_67	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	2989	-0.11049467325210571	-0.18143444	No	
row_68	IL9	interleukin 9 [Source:HGNC Symbol;Acc:HGNC:6029]	3000	-0.11150312423706055	-0.17886698	No	
row_69	APBB1	amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]	3005	-0.11174098402261734	-0.17492118	No	
row_70	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	3021	-0.11356838047504425	-0.17340392	No	
